Stock,Market Cap,Weightage,PE,PB,Div Yield(%),Price,CurrentMC,CurrentSP,DivPayOut,EPSM23,EPSJ23,EPSS23,EPSD23
Tata Consultancy Services Ltd,1379000,20.25,30.5,13.7,1.3,3810.3,1533906,4229,58,31.13,30.26,31,30.56
Infosys Ltd,697000,8.41,28.4,8.7,2.16,1669.1,732522,1771,73,14.77,14.32,14.97,14.71
HDFC Bank Ltd,1191000,9.36,16,2.8,1.19,1434.9,1263171,1650,23,22.57,22.12,22.17,22.73
ICICI Bank Ltd,709000,5.52,16.7,3.3,0.86,1009.95,823376,1172,16,14.11,15.2,15.56,15.76
State Bank of India,547000,3.42,8,1.5,1.68,612.75,724500,824,18,20.27,20.77,18.04,12.4
Hindustan Unilever Ltd,571000,14.91,55.3,11.3,1.54,2428.3,642143,2747,96,11.07,10.87,11.3,10.68
ITC Ltd,569000,2.53,28.1,8.2,2.76,455.65,619267,496,84,4.16,4.1,3.93,4.28
Larsen & Toubro Ltd,494000,15.88,41.2,6.3,0.77,3593.45,493564,3592,36,28.37,17.74,23.45,21.44
Reliance Industries Ltd,1831000,14.49,26.2,2.4,0.35,2706.15,1988676,2949,10,28.53,23.67,25.71,25.52
Bharti Airtel Ltd,682000,5.23,60.2,8.4,0.54,1160.55,885493,1464,62,5.39,2.89,2.39,4.34
